#,Player,Team,Pos,DPM,ODPM,DDPM,Box,On/Off DPM,MPG,Pace,Pts per 100,Ast per 100,FG%,3P%,FT%,$ Value,Salary,Surplus Value
397,Guerschon Yabusele,Chicago Bulls,F,-2,-1,-0,-2,-2,23.0,99.1,17.0,3.8,42.2%,36.5%,73.9%,$2.8M,$5.4M,-$2.6M
398,Tyus Jones,Denver Nuggets,G,-2,-1,-1,-1,-2,1.0,98.6,13.8,7.6,41.2%,34.7%,79.7%,$2.0M,$6.9M,-$4.9M
399,Max Christie,Dallas Mavericks,G,-2,-1,-1,-2,-1,23.6,100.6,20.3,3.3,43.5%,38.6%,87.2%,$4.3M,$7.6M,-$3.4M
400,Nicolas Claxton,Brooklyn Nets,F-C,-2,-1,-0,+1,-3,22.8,96.9,20.7,6.8,64.0%,25.3%,57.4%,$2.0M,$25.1M,-$23.1M
401,Gabe Vincent,Atlanta Hawks,G,-2,-1,-1,-2,-1,9.1,97.3,15.5,4.9,39.3%,36.4%,81.5%,$0.5M,$11.4M,-$10.9M
402,Lindy Waters III,San Antonio Spurs,F,-2,-1,-0,-2,-2,0.9,93.1,17.2,3.1,39.3%,35.5%,76.2%,$0.5M,$2.3M,-$1.8M
403,Trendon Watford,Philadelphia 76ers,F,-2,-2,+0,-1,-2,11.5,96.0,20.1,6.7,53.8%,32.4%,76.1%,$1.9M,$2.4M,-$0.6M
404,Sean Pedulla,Los Angeles Clippers,G,-2,-1,-1,-2,-3,6.8,101.4,21.3,8.9,38.9%,34.2%,76.5%,$-0.9M,$1.4M,-$2.2M
405,Dalton Knecht,Los Angeles Lakers,F,-2,-1,-1,-2,-3,3.1,97.7,21.6,2.8,44.6%,34.9%,71.5%,$0.5M,$4.0M,-$3.4M
406,Jaden Hardy,Washington Wizards,G,-2,-0,-1,-2,-2,9.3,94.1,26.1,3.1,39.7%,35.8%,77.7%,$1.7M,$5.9M,-$4.3M
407,Mike Conley,Minnesota Timberwolves,G,-2,-2,+1,-1,-2,5.6,98.3,11.9,8.5,37.9%,35.5%,79.6%,$1.2M,$10.7M,-$9.4M
408,Ochai Agbaji,Brooklyn Nets,G,-2,-2,-0,-2,-2,3.7,96.3,17.7,3.4,45.7%,34.2%,77.8%,$1.5M,$6.3M,-$4.9M
409,Bilal Coulibaly,Washington Wizards,G,-2,-1,-0,-0,-3,26.5,97.1,21.4,4.6,41.1%,33.4%,76.1%,$1.9M,$7.2M,-$5.3M
410,Mac McClung,Chicago Bulls,G,-2,-2,+0,-2,-2,2.1,96.3,20.0,4.6,39.6%,30.1%,73.2%,$0.5M,$1.4M,-$0.9M
411,Keaton Wallace,Atlanta Hawks,G,-2,-2,-0,-2,-3,2.5,95.1,18.8,8.7,40.2%,33.9%,74.4%,$0.4M,$1.4M,-$0.9M
412,Ben Sheppard,Indiana Pacers,G,-2,-1,-1,-1,-3,15.3,99.2,16.9,2.9,42.7%,36.2%,81.9%,$2.0M,$2.8M,-$0.8M
413,Cam Whitmore,Washington Wizards,F,-2,-1,-1,-1,-2,6.2,94.1,25.6,2.9,43.3%,32.3%,73.0%,$0.5M,$3.5M,-$3.0M
414,Chucky Hepburn,Toronto Raptors,G,-2,-1,-0,-2,-3,14.0,94.4,19.6,6.8,42.2%,31.5%,76.7%,$0.1M,$1.4M,-$1.3M
415,Caris LeVert,Detroit Pistons,G-F,-2,-2,+0,-2,-2,14.1,98.2,19.1,6.2,44.0%,33.0%,69.9%,$1.9M,$14.0M,-$12.1M
416,Malevy Leons,Golden State Warriors,F,-2,-2,+0,-2,-3,0.0,97.0,15.7,3.0,46.4%,29.7%,68.2%,$-0.9M,$2.0M,-$3.0M
417,Kobe Brown,Indiana Pacers,F,-2,-1,-1,-1,-3,14.1,97.4,16.6,2.9,46.3%,34.8%,79.7%,$2.1M,$2.6M,-$0.5M
418,Ace Bailey,Utah Jazz,F,-2,-1,-1,-1,-4,38.3,101.8,25.0,3.4,43.8%,34.2%,78.3%,$-3.2M,$9.0M,-$12.2M
419,Tyrese Martin,Philadelphia 76ers,G,-2,-2,-0,-2,-2,4.0,93.6,19.6,5.1,43.5%,33.7%,74.8%,$-0.6M,$2.2M,-$2.7M
420,Jeremiah Fears,New Orleans Pelicans,G,-2,-1,-1,-2,-2,22.4,96.7,26.1,7.1,44.3%,33.8%,79.7%,$0.1M,$7.4M,-$7.4M
421,Walter Clayton Jr.,Memphis Grizzlies,G,-2,-1,-1,-2,-1,23.8,99.6,16.2,9.2,38.9%,32.5%,86.8%,$1.5M,$4.0M,-$2.5M
422,Leaky Black,Washington Wizards,F,-2,-2,-0,-2,-1,19.3,94.0,14.9,2.9,42.5%,34.5%,78.3%,$0.3M,$1.4M,-$1.0M
423,Payton Sandfort,Oklahoma City Thunder,F,-2,-2,-0,-2,-3,0.0,98.9,17.9,3.6,42.1%,31.7%,69.5%,$-0.3M,$1.4M,-$1.6M
424,Alex Morales,Orlando Magic,G,-2,-1,-0,-2,-2,0.0,102.2,17.2,4.1,41.3%,30.5%,71.9%,$0.3M,$1.4M,-$1.1M
425,Zaccharie Risacher,Atlanta Hawks,F,-2,-2,-0,-2,-2,22.9,99.0,19.5,2.9,46.7%,36.3%,67.5%,$-0.2M,$13.1M,-$13.3M
426,Jalen Pickett,Denver Nuggets,G,-2,-1,-1,-2,-2,4.7,94.3,15.6,6.7,42.0%,35.7%,82.0%,$0.4M,$2.2M,-$1.8M
427,Jamison Battle,Toronto Raptors,F,-2,-1,-1,-2,-1,3.2,94.3,16.1,2.1,44.8%,37.3%,77.2%,$0.2M,$1.9M,-$1.8M
428,Hunter Dickinson,New Orleans Pelicans,C,-2,-2,-0,-2,-2,11.8,94.9,19.3,2.3,47.6%,26.9%,64.9%,$-0.6M,$1.4M,-$1.9M
429,Ariel Hukporti,New York Knicks,C,-2,-3,+1,-2,-2,6.9,100.1,13.4,2.8,58.1%,15.9%,69.2%,$0.2M,$1.9M,-$1.7M
430,Alex Antetokounmpo,Milwaukee Bucks,F,-2,-2,-0,-2,-2,1.7,100.1,17.9,3.4,45.9%,28.2%,69.8%,$0.2M,$1.4M,-$1.1M
431,Jonas Valanciunas,Denver Nuggets,C,-2,-1,-1,+0,-2,6.7,94.8,28.7,4.9,57.8%,28.7%,81.2%,$0.2M,$10.3M,-$10.1M
432,Doug McDermott,Sacramento Kings,F,-2,-1,-1,-1,-2,0.8,96.5,15.8,2.2,38.3%,37.2%,73.0%,$0.4M,$2.3M,-$1.9M
433,Terance Mann,Brooklyn Nets,G,-2,-1,-1,-1,-2,17.0,95.4,16.4,5.9,49.1%,35.3%,78.1%,$-0.8M,$15.3M,-$16.2M
434,David Roddy,Denver Nuggets,F,-2,-1,-1,-2,-2,3.5,99.4,17.6,4.9,41.1%,32.0%,70.4%,$0.0M,$1.4M,-$1.3M
435,Jordan Poole,New Orleans Pelicans,G,-2,-1,-1,-1,-2,8.1,97.0,28.6,6.4,40.9%,35.1%,83.5%,$0.1M,$31.5M,-$31.5M
436,Jett Howard,Orlando Magic,G,-2,-1,-1,-2,-2,15.5,103.3,19.1,3.2,42.1%,34.9%,85.8%,$1.7M,$5.5M,-$3.7M
437,Isaiah Stevens,Sacramento Kings,G,-2,-2,+0,-2,-2,0.2,95.8,16.7,8.7,43.1%,24.7%,79.4%,$-0.5M,$1.4M,-$1.9M
438,DeMar DeRozan,Sacramento Kings,G,-2,+0,-2,-1,-2,33.0,95.7,27.3,5.9,47.7%,34.1%,86.0%,$-1.6M,$24.3M,-$26.0M
439,Dillon Jones,New York Knicks,F,-2,-2,-0,-2,-3,14.4,102.0,17.1,5.6,45.0%,31.9%,71.4%,$-0.2M,$2.7M,-$3.0M
440,Mohamed Diawara,New York Knicks,F,-2,-1,-1,-2,-2,15.3,99.1,22.0,3.3,45.7%,34.8%,75.3%,$0.7M,$1.4M,-$0.7M
441,Christian Koloko,Atlanta Hawks,C,-2,-3,+1,-2,-1,2.0,98.4,14.4,2.7,49.2%,25.6%,67.3%,$-0.3M,$1.4M,-$1.6M
442,Rayan Rupert,Memphis Grizzlies,G-F,-2,-2,-0,-2,-3,38.9,98.7,18.3,2.5,38.9%,33.9%,80.0%,$-0.1M,$2.2M,-$2.3M
443,Julian Reese,Washington Wizards,F,-2,-2,+0,-2,-3,18.4,92.4,14.0,2.9,49.0%,28.0%,70.2%,$-1.8M,$1.4M,-$3.2M
444,Rasheer Fleming,Phoenix Suns,F,-2,-2,+0,-2,-2,15.7,91.9,17.8,2.0,45.5%,33.3%,69.3%,$0.7M,$1.4M,-$0.6M
445,Ryan Nembhard,Dallas Mavericks,G,-2,-1,-1,-2,-3,9.5,97.6,17.1,12.4,41.8%,34.9%,79.5%,$-1.6M,$1.4M,-$3.0M
446,Jase Richardson,Orlando Magic,G,-2,-1,-1,-2,-1,3.4,102.3,16.7,4.9,40.3%,33.1%,75.5%,$-0.2M,$3.0M,-$3.2M
447,Blake Wesley,Portland Trail Blazers,G,-2,-2,-0,-2,-2,6.7,102.9,18.5,8.6,48.1%,30.5%,62.4%,$0.5M,$7.0M,-$6.4M
448,Kam Jones,Indiana Pacers,G,-2,-1,-1,-2,-2,11.1,98.4,14.4,8.1,41.5%,29.7%,72.6%,$0.7M,$1.4M,-$0.7M
449,Kelly Olynyk,San Antonio Spurs,C-F,-2,-3,+1,-1,-2,0.1,92.7,17.3,6.2,47.2%,32.4%,74.6%,$0.4M,$13.3M,-$13.0M
450,Norchad Omier,Los Angeles Clippers,F,-2,-2,-0,-2,-3,6.8,100.2,20.1,4.0,46.7%,30.7%,71.4%,$0.1M,$1.4M,-$1.3M
451,Kevin Love,Utah Jazz,F,-2,-2,-1,-1,-2,17.3,103.1,20.3,4.9,40.8%,36.5%,80.2%,$-0.7M,$4.1M,-$4.8M
452,Olivier Sarr,Cleveland Cavaliers,C,-2,-2,+0,-2,-1,13.0,101.7,19.7,3.1,49.2%,27.0%,72.5%,$-0.4M,$1.4M,-$1.7M
453,Will Riley,Washington Wizards,F,-2,-1,-1,-2,-4,27.1,95.7,21.5,3.8,42.4%,33.0%,79.4%,$-2.5M,$3.5M,-$6.0M
454,Nikola Topić,Oklahoma City Thunder,G,-2,-2,-1,-2,-1,2.0,99.0,19.7,8.2,47.0%,30.0%,74.7%,$-0.6M,$5.1M,-$5.7M
455,Emanuel Miller,San Antonio Spurs,F,-2,-2,-1,-2,-2,0.0,93.5,18.1,3.7,43.7%,29.5%,70.7%,$-0.4M,$1.4M,-$1.8M
456,Ben Saraf,Brooklyn Nets,G,-2,-2,-0,-2,-3,17.7,97.9,15.9,8.6,46.0%,30.9%,78.9%,$-2.2M,$2.9M,-$5.0M
457,Curtis Jones,Denver Nuggets,G,-2,-2,-1,-2,-2,0.0,96.9,18.6,5.4,41.7%,32.9%,73.8%,$-0.6M,$1.4M,-$1.9M
458,Riley Minix,Cleveland Cavaliers,F,-2,-2,-0,-2,-2,5.0,101.3,17.7,3.7,44.9%,27.3%,74.1%,$1.2M,$1.4M,-$0.1M
459,Jeremy Sochan,New York Knicks,F,-2,-2,-0,-2,-2,2.3,102.8,17.1,3.8,52.5%,29.2%,71.6%,$-0.9M,$7.0M,-$7.9M
460,DeAndre Jordan,New Orleans Pelicans,C,-2,-4,+1,-1,-2,11.5,94.9,11.5,3.0,61.5%,16.5%,43.3%,$-0.3M,$1.4M,-$1.6M
461,Patrick Baldwin Jr.,Sacramento Kings,F,-2,-2,+0,-2,-1,0.0,98.8,16.9,2.8,41.6%,32.6%,70.1%,$-0.6M,$2.3M,-$2.9M
462,Taelon Peter,Indiana Pacers,G,-2,-2,-1,-2,-3,14.5,98.4,16.9,4.1,38.8%,30.9%,71.6%,$-1.3M,$1.4M,-$2.6M
463,Tristan Enaruna,Cleveland Cavaliers,F,-2,-2,-1,-2,-2,7.9,99.8,19.8,4.1,43.7%,28.2%,68.6%,$-0.9M,$1.4M,-$2.3M
464,Cormac Ryan,Milwaukee Bucks,G,-2,-2,-1,-2,-2,0.9,98.6,17.9,4.8,42.8%,31.1%,74.5%,$-0.8M,$1.4M,-$2.1M
465,Daniss Jenkins,Detroit Pistons,G,-2,-2,-1,-3,-1,16.0,100.0,21.5,8.1,43.3%,34.2%,76.8%,$-1.3M,$1.4M,-$2.6M
466,Yang Hansen,Portland Trail Blazers,C,-2,-2,+0,-2,-3,16.4,102.3,20.4,4.0,43.1%,29.6%,72.8%,$-2.1M,$4.4M,-$6.5M
467,AJ Lawson,Toronto Raptors,G,-2,-1,-1,-2,-3,1.5,93.8,21.5,2.5,42.8%,33.3%,71.5%,$-0.8M,$1.4M,-$2.2M
468,Tolu Smith,Detroit Pistons,F,-2,-2,+0,-2,-2,1.4,98.7,17.9,2.8,49.7%,21.5%,67.3%,$-0.4M,$1.4M,-$1.8M
469,Chris Youngblood,Portland Trail Blazers,G,-2,-2,-1,-2,-3,11.9,100.7,20.6,4.6,39.0%,33.6%,75.6%,$-0.5M,$1.4M,-$1.8M
470,Zach LaVine,Sacramento Kings,G,-2,+0,-2,-1,-3,13.0,95.4,27.5,4.3,45.6%,37.6%,81.4%,$-1.4M,$47.0M,-$48.5M
471,Bobi Klintman,Detroit Pistons,F,-2,-2,-0,-2,-2,14.7,101.1,18.9,4.5,43.9%,31.1%,63.1%,$-1.4M,$1.9M,-$3.3M
472,Jericho Sims,Milwaukee Bucks,C,-2,-2,+0,-1,-3,17.9,96.1,10.7,3.5,66.9%,14.2%,66.2%,$-1.9M,$2.4M,-$4.4M
473,Zeke Nnaji,Denver Nuggets,F-C,-2,-3,+1,-1,-3,8.1,95.7,14.9,2.7,48.1%,31.6%,69.5%,$-0.4M,$8.1M,-$8.5M
474,Terrence Shannon Jr.,Minnesota Timberwolves,G-F,-2,-1,-1,-2,-3,4.6,97.4,19.9,3.6,44.2%,35.4%,80.2%,$-1.5M,$2.6M,-$4.1M
475,Tosan Evbuomwan,Charlotte Hornets,F,-2,-2,-0,-2,-2,3.6,100.3,17.8,4.0,39.8%,32.1%,71.0%,$-0.9M,$1.4M,-$2.2M
476,Cam Christie,Los Angeles Clippers,G,-2,-2,-0,-2,-2,10.1,99.9,18.0,4.0,44.6%,30.9%,74.4%,$-0.1M,$1.9M,-$2.1M
477,Zyon Pullin,Minnesota Timberwolves,G,-2,-2,-0,-2,-2,14.2,97.4,20.5,5.1,43.0%,29.7%,75.2%,$-1.2M,$2.0M,-$3.2M
478,Blake Hinson,Utah Jazz,F,-2,-1,-2,-2,-2,34.4,98.2,20.4,2.6,42.6%,35.1%,73.0%,$-1.6M,$1.4M,-$3.0M
479,Ethan Thompson,Indiana Pacers,G,-2,-2,-0,-3,-0,26.5,98.9,15.8,3.8,41.3%,32.5%,73.6%,$-1.6M,$2.0M,-$3.6M
480,Isaiah Collier,Utah Jazz,G,-2,-1,-1,-1,-4,30.0,102.4,26.3,12.0,47.1%,28.7%,72.9%,$-5.5M,$2.6M,-$8.1M
481,John Poulakidas,Dallas Mavericks,G,-2,-2,-0,-2,-3,4.1,97.2,15.6,4.5,41.3%,31.3%,71.3%,$-2.0M,$1.4M,-$3.4M
482,Sharife Cooper,Washington Wizards,G,-2,-1,-1,-2,-2,5.6,95.5,21.5,8.2,45.4%,30.6%,77.8%,$-1.3M,$1.4M,-$2.7M
483,Andersson Garcia,Utah Jazz,F,-2,-2,-0,-2,-3,22.3,99.3,16.6,3.2,46.5%,29.3%,73.2%,$0.4M,$1.4M,-$0.9M
484,Josh Oduro,New Orleans Pelicans,C,-2,-2,-1,-2,-2,10.0,94.5,18.0,3.2,45.7%,31.4%,67.0%,$-1.5M,$1.4M,-$2.9M
485,Gary Trent Jr.,Milwaukee Bucks,G,-2,-1,-2,-1,-3,0.5,98.7,18.3,2.4,40.3%,36.6%,80.2%,$-1.3M,$3.7M,-$4.9M
486,Jayson Kent,Portland Trail Blazers,F,-2,-2,-0,-2,-3,0.0,98.7,17.9,3.6,44.2%,30.4%,68.2%,$-1.2M,$1.4M,-$2.6M
487,Daeqwon Plowden,Sacramento Kings,G-F,-2,-1,-1,-2,-3,18.9,97.5,17.1,2.6,40.7%,33.9%,84.7%,$-4.7M,$1.4M,-$6.1M
488,Carter Bryant,San Antonio Spurs,F,-2,-2,-1,-2,-3,8.4,95.6,19.4,2.6,42.9%,33.9%,72.7%,$-2.5M,$4.9M,-$7.3M
489,Kobe Sanders,Los Angeles Clippers,G,-2,-2,-1,-2,-3,13.5,100.1,18.6,4.8,45.9%,36.1%,78.6%,$-2.5M,$1.4M,-$3.8M
490,Vladislav Goldin,Miami Heat,C,-2,-2,-0,-2,-3,2.3,99.2,17.2,2.1,51.1%,23.7%,63.6%,$-0.9M,$1.4M,-$2.2M
491,Enrique Freeman,Minnesota Timberwolves,F,-3,-2,-0,-3,-0,16.8,97.9,16.3,3.3,45.0%,28.6%,72.0%,$-2.2M,$1.4M,-$3.5M
492,CJ Huntley,Phoenix Suns,F,-3,-2,-0,-3,-3,0.0,95.0,18.1,2.9,44.4%,28.1%,68.2%,$-1.3M,$1.4M,-$2.7M
493,John Tonje,Boston Celtics,G,-3,-2,-1,-3,-2,0.1,101.5,19.0,4.4,41.5%,30.6%,73.2%,$-2.3M,$1.4M,-$3.6M
494,Chaz Lanier,Detroit Pistons,G,-3,-1,-1,-3,-2,1.7,98.4,19.1,4.3,41.0%,34.1%,77.5%,$0.4M,$1.4M,-$0.9M
495,Jarace Walker,Indiana Pacers,F,-3,-2,-1,-2,-3,23.2,101.4,21.8,4.5,44.3%,34.9%,76.3%,$-4.0M,$6.6M,-$10.6M
496,Tre Mann,Charlotte Hornets,G,-3,-2,-1,-1,-4,0.0,96.6,21.3,6.9,38.2%,34.0%,79.6%,$-1.2M,$7.9M,-$9.1M
497,Cody Williams,Utah Jazz,F,-3,-2,-0,-2,-4,35.5,100.2,14.5,3.8,46.5%,30.4%,73.7%,$-5.0M,$5.7M,-$10.7M
498,Max Shulga,Boston Celtics,G,-3,-2,-0,-3,-2,2.3,101.8,19.5,4.2,44.1%,27.3%,71.6%,$-1.1M,$1.4M,-$2.4M
499,Tyler Burton,Memphis Grizzlies,F,-3,-2,-1,-3,-2,16.2,97.6,14.7,2.6,38.2%,32.8%,74.4%,$1.2M,$1.4M,-$0.2M
500,Kevin McCullar Jr.,New York Knicks,G,-3,-2,-0,-3,-3,0.7,101.4,16.8,5.7,44.4%,31.5%,67.0%,$-1.0M,$1.4M,-$2.4M
501,Jordan Clarkson,New York Knicks,G,-3,-1,-2,-3,-3,11.7,100.4,25.2,3.8,43.9%,33.8%,80.6%,$-2.0M,$16.4M,-$18.5M
502,Tyson Etienne,Brooklyn Nets,G,-3,-1,-1,-3,-2,4.6,97.5,19.1,6.4,40.4%,34.2%,76.5%,$-2.8M,$1.4M,-$4.1M
503,Drake Powell,Brooklyn Nets,G-F,-3,-2,-1,-2,-4,21.7,95.0,17.4,4.1,43.8%,34.5%,84.8%,$-1.9M,$3.3M,-$5.3M
504,Tre Johnson,Washington Wizards,G,-3,-1,-2,-3,-3,21.2,96.7,24.9,3.8,40.7%,36.0%,84.2%,$-4.2M,$8.2M,-$12.4M
505,Chaney Johnson,Brooklyn Nets,F,-3,-2,-0,-3,-3,6.3,97.7,15.7,4.2,46.4%,30.1%,73.1%,$-1.2M,$1.4M,-$2.5M
506,Terry Rozier,Miami Heat,G,-3,-2,-1,-2,-3,2.4,97.5,20.1,4.6,41.1%,34.5%,81.9%,$-2.6M,$26.4M,-$29.0M
507,Ousmane Dieng,Milwaukee Bucks,F,-3,-2,-1,-2,-4,16.3,98.8,16.9,4.9,44.1%,34.2%,80.3%,$-1.7M,$6.6M,-$8.3M
508,Brooks Barnhizer,Oklahoma City Thunder,G,-3,-2,-0,-3,-4,0.0,98.8,14.1,3.9,41.1%,26.5%,68.5%,$-3.4M,$1.4M,-$4.7M
509,Trevor Keels,Miami Heat,G,-3,-2,-1,-3,-3,1.4,99.6,18.2,3.2,40.4%,26.7%,73.2%,$-0.9M,$1.4M,-$2.2M
510,Bruce Brown,Denver Nuggets,G,-3,-2,-1,-1,-3,20.4,97.2,15.3,4.2,47.9%,33.2%,78.2%,$-4.8M,$2.3M,-$7.1M
511,Johni Broome,Philadelphia 76ers,F,-3,-3,-0,-3,-2,0.0,95.9,17.7,3.2,45.2%,30.1%,62.4%,$-2.3M,$1.4M,-$3.7M
512,Nick Smith Jr.,Los Angeles Lakers,G,-3,-1,-1,-3,-3,4.5,98.4,23.5,5.0,41.0%,35.8%,80.9%,$-4.7M,$2.7M,-$7.4M
513,Nolan Traore,Brooklyn Nets,G,-3,-2,-1,-3,-3,21.4,93.9,20.9,8.2,44.1%,34.2%,80.6%,$-7.4M,$3.8M,-$11.2M
514,Rob Dillingham,Chicago Bulls,G,-3,-2,-1,-3,-3,18.3,100.6,19.3,8.2,41.1%,32.7%,75.7%,$-6.9M,$6.5M,-$13.4M
515,KJ Simpson,Denver Nuggets,G,-3,-2,-1,-3,-2,2.2,99.5,17.9,8.9,41.3%,30.3%,73.0%,$-4.8M,$1.4M,-$6.1M
516,Colin Castleton,Orlando Magic,C,-3,-2,-1,-3,-2,5.0,102.7,15.8,3.1,44.5%,24.5%,70.3%,$-2.9M,$2.3M,-$5.2M
517,Patrick Williams,Chicago Bulls,F,-3,-2,-1,-3,-3,20.6,99.7,17.0,3.7,40.4%,36.8%,74.5%,$-8.6M,$17.8M,-$26.4M
518,Amari Williams,Boston Celtics,F-C,-3,-3,-0,-3,-3,2.8,99.6,15.9,3.2,49.5%,23.1%,63.5%,$-2.6M,$1.4M,-$4.0M
519,Garrett Temple,Toronto Raptors,G,-3,-4,+1,-1,-4,6.2,93.8,9.7,3.7,37.1%,29.1%,69.3%,$-1.6M,$2.3M,-$3.9M
520,Kyle Lowry,Philadelphia 76ers,G,-3,-4,+0,-1,-3,1.5,94.7,12.4,7.3,39.1%,34.2%,78.3%,$-2.3M,$2.3M,-$4.6M
521,Kobe Bufkin,Los Angeles Lakers,G,-3,-2,-1,-3,-3,1.5,100.3,22.2,4.9,40.2%,31.4%,77.1%,$-2.2M,$4.5M,-$6.7M
522,Caleb Love,Portland Trail Blazers,G,-3,-1,-2,-3,-3,10.6,100.9,25.9,6.0,41.8%,32.0%,74.0%,$-8.3M,$1.4M,-$9.7M
523,Russell Westbrook,Sacramento Kings,G,-3,-1,-2,-2,-3,31.3,97.0,26.7,10.0,41.9%,32.7%,69.3%,$-8.7M,$1.4M,-$10.1M
524,Kyle Kuzma,Milwaukee Bucks,F,-3,-1,-2,-2,-3,22.5,100.5,24.2,4.7,46.1%,34.2%,70.5%,$-9.2M,$22.2M,-$31.4M
525,Taj Gibson,Memphis Grizzlies,F,-3,-4,+1,-3,-3,11.3,96.9,12.8,2.5,48.6%,25.5%,65.2%,$-3.6M,$1.4M,-$4.9M
526,AJ Johnson,Dallas Mavericks,G,-3,-2,-1,-4,-2,2.1,95.8,17.9,5.2,40.7%,30.7%,81.0%,$-4.5M,$3.1M,-$7.6M
527,Carlton Carrington,Washington Wizards,G,-4,-2,-2,-2,-5,21.4,97.3,17.8,7.3,40.1%,36.0%,77.7%,$-11.3M,$4.6M,-$15.9M
528,Jahmir Young,Miami Heat,G,-4,-2,-1,-4,-3,0.0,98.8,18.4,5.8,41.8%,31.6%,75.9%,$-6.1M,$2.0M,-$8.2M
529,Bismack Biyombo,San Antonio Spurs,C-F,-4,-4,+0,-2,-4,0.0,93.5,10.0,2.6,53.2%,16.7%,50.6%,$-2.8M,$2.3M,-$5.1M
530,Joe Ingles,Minnesota Timberwolves,F-G,-4,-4,-0,-2,-4,1.2,101.0,9.5,8.7,40.8%,34.2%,73.9%,$-3.2M,$2.3M,-$5.4M
531,Jordan Hawkins,New Orleans Pelicans,G,-4,-2,-2,-4,-4,4.0,96.5,18.8,3.0,38.6%,34.5%,78.5%,$-3.3M,$4.7M,-$8.0M
532,Trey Jemison,New York Knicks,C,-4,-4,-0,-4,-3,1.8,102.5,14.7,3.2,51.5%,17.1%,56.9%,$-5.0M,$1.4M,-$6.3M
533,Jeff Green,Houston Rockets,F,-5,-3,-1,-2,-5,2.2,98.4,19.5,2.1,40.1%,31.9%,77.7%,$-4.5M,$2.3M,-$6.8M
